reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
2,69,2021-01-16,2,0,,,,80,9
76,79,2021-06-10,189,37,63.0,86.0,3.0,4466,993
94,9,2021-02-24,0,0,,,,11,0
4,89,2021-07-09,20,0,9.0,11.0,0.0,174,72
1,0,2021-03-21,44,12,28.0,4.0,0.0,885,189
32,39,2020-03-23,23,9,,,,30,0
76,69,2021-06-13,132,38,50.0,42.0,2.0,3769,425
84,29,2021-05-21,15,2,12.0,1.0,0.0,1396,11
53,90,2020-12-17,94,0,,,,296,168
3,89,2021-02-18,0,0,,,,63,13
24,0,2021-01-16,1002,116,,,,5996,1471
53,89,2020-12-02,191,4,,,,642,250
1,39,2021-04-22,4,1,3.0,0.0,0.0,75,2
75,79,2021-03-31,289,78,142.0,69.0,0.0,2593,613
52,49,2021-04-08,41,10,31.0,0.0,0.0,677,14
24,0,2021-05-19,796,131,360.0,293.0,12.0,11575,2675
2,79,2021-01-02,7,2,,,,65,12
53,39,2021-05-25,13,0,11.0,1.0,1.0,379,3
1,9,2021-01-29,0,0,,,,21,0
94,79,2021-02-25,26,7,,,,133,37
76,29,2021-04-28,17,3,12.0,0.0,2.0,519,3
2,59,2021-02-19,2,0,,,,85,3
44,19,2021-05-23,4,0,3.0,0.0,1.0,235,0
28,0,2021-02-13,1283,127,,,,7956,2085
32,69,2020-03-25,167,71,,,,26,18
44,90,2021-04-26,239,3,155.0,81.0,0.0,3148,1995
6,29,2021-07-22,0,0,0.0,0.0,0.0,180,1
84,59,2021-01-13,254,49,,,,3379,152
52,0,2020-12-23,935,84,,,,5843,1252
27,89,2021-02-01,635,17,,,,3165,1425
44,19,2020-03-23,3,1,,,,6,0
11,69,2021-04-19,1644,587,813.0,225.0,19.0,14834,2445
94,19,2021-03-16,0,0,0.0,0.0,0.0,4,0
28,39,2021-07-28,14,1,11.0,2.0,0.0,577,11
1,59,2020-12-26,7,0,,,,138,10
24,89,2021-04-16,294,10,149.0,135.0,0.0,2371,958
27,9,2021-07-20,0,0,0.0,0.0,0.0,91,0
6,0,2020-03-25,0,0,,,,0,0
53,29,2021-02-16,4,1,,,,127,0
75,29,2021-04-20,10,3,6.0,0.0,1.0,410,2
11,0,2021-07-09,1626,278,435.0,855.0,58.0,100241,20593
11,29,2021-03-20,99,15,70.0,2.0,12.0,2526,24
53,39,2020-12-19,6,0,,,,158,2
94,9,2021-03-30,0,0,0.0,0.0,0.0,11,0
93,9,2021-02-01,4,1,,,,184,0
11,90,2021-06-24,208,4,63.0,141.0,0.0,7794,4026
76,90,2021-04-22,223,4,132.0,87.0,0.0,1878,1076
53,9,2020-12-30,1,1,,,,37,0
27,19,2020-12-08,4,1,,,,77,0
6,79,2021-02-25,24,3,,,,88,21
44,9,2021-06-14,1,0,1.0,0.0,0.0,263,1
76,9,2021-07-11,0,0,0.0,0.0,0.0,162,0
6,9,2020-12-30,0,0,,,,20,0
44,90,2021-05-26,160,1,88.0,71.0,0.0,3338,2067
24,0,2021-07-17,215,27,55.0,127.0,6.0,12511,2782
